payment_sk,payment_id,booking_sk,amount,payment_method,amount_quality
613,PAY1612,596,11063.32,UPI,valid
614,PAY1613,979,9450.85,UPI,valid
615,PAY1614,42,13829.91,UPI,valid
616,PAY1615,731,,NETBANKING,missing
617,PAY1616,57,3173.87,NETBANKING,valid
618,PAY1617,738,12049.41,CARD,valid
619,PAY1618,196,6019.11,CARD,valid
620,PAY1619,760,2656.83,UPI,valid
621,PAY1620,678,14950.31,CARD,valid
622,PAY1621,62,12021.5,CARD,valid
623,PAY1622,263,6722.37,UPI,valid
624,PAY1623,112,,NETBANKING,missing
625,PAY1624,765,10528.45,NETBANKING,valid
626,PAY1625,711,12059.65,CARD,valid
627,PAY1626,178,12412.89,NETBANKING,valid
628,PAY1627,948,2186.2,NETBANKING,valid
629,PAY1628,26,9721.62,CARD,valid
630,PAY1629,410,1095.0,UPI,valid
631,PAY1630,758,1608.39,CARD,valid
632,PAY1631,531,13655.72,CARD,valid
633,PAY1632,777,8385.89,CARD,valid
634,PAY1633,317,11302.63,UPI,valid
635,PAY1634,532,12739.01,UPI,valid
636,PAY1635,106,14294.21,UPI,valid
637,PAY1636,749,13170.94,UPI,valid
638,PAY1637,818,7766.36,CARD,valid
639,PAY1638,464,5703.58,NETBANKING,valid
640,PAY1639,246,3162.91,CARD,valid
641,PAY1640,81,6604.5,UPI,valid
642,PAY1641,662,6130.91,NETBANKING,valid
643,PAY1642,909,8834.05,CARD,valid
644,PAY1643,396,10317.13,NETBANKING,valid
645,PAY1644,522,,UPI,missing
646,PAY1645,833,11197.41,NETBANKING,valid
647,PAY1646,736,10012.48,NETBANKING,valid
648,PAY1647,926,5691.29,UPI,valid
649,PAY1648,264,1483.05,NETBANKING,valid
650,PAY1649,661,5033.75,CARD,valid
651,PAY1650,790,11758.27,NETBANKING,valid
652,PAY1651,274,3873.81,CARD,valid
653,PAY1652,706,10970.63,NETBANKING,valid
654,PAY1653,944,9116.92,NETBANKING,valid
655,PAY1654,172,3406.0,UPI,valid
656,PAY1655,265,4662.75,UPI,valid
657,PAY1656,963,7948.25,CARD,valid
658,PAY1657,822,,UPI,missing
659,PAY1658,26,11899.89,UPI,valid
660,PAY1659,469,11281.66,UPI,valid
661,PAY1660,862,9044.04,UPI,valid
662,PAY1661,476,12511.85,UPI,valid
663,PAY1662,356,8877.37,CARD,valid
664,PAY1663,26,14501.45,CARD,valid
665,PAY1664,34,,UPI,missing
666,PAY1665,264,10997.85,UPI,valid
667,PAY1666,138,6179.22,CARD,valid
668,PAY1667,816,4905.53,NETBANKING,valid
669,PAY1668,695,3525.42,CARD,valid
670,PAY1669,875,8735.05,NETBANKING,valid
671,PAY1670,754,4016.57,UPI,valid
672,PAY1671,566,3804.91,UPI,valid
673,PAY1672,462,14867.45,CARD,valid
674,PAY1673,168,12224.46,UPI,valid
675,PAY1674,631,11475.88,NETBANKING,valid
676,PAY1675,655,12116.85,NETBANKING,valid
677,PAY1676,81,14564.92,CARD,valid
678,PAY1677,757,,NETBANKING,non_numeric
679,PAY1678,914,4083.41,CARD,valid
680,PAY1679,864,13070.93,CARD,valid
681,PAY1680,870,11398.23,NETBANKING,valid
682,PAY1681,407,6800.32,NETBANKING,valid
683,PAY1682,574,7629.97,NETBANKING,valid
684,PAY1683,46,,NETBANKING,non_numeric
685,PAY1684,599,14019.19,NETBANKING,valid
686,PAY1685,611,5809.44,NETBANKING,valid
687,PAY1686,807,14488.78,NETBANKING,valid
688,PAY1687,911,13743.8,UPI,valid
689,PAY1688,53,9827.3,CARD,valid
690,PAY1689,984,9117.5,CARD,valid
691,PAY1690,704,6181.25,NETBANKING,valid
692,PAY1691,959,1256.74,CARD,valid
693,PAY1692,476,2786.72,NETBANKING,valid
694,PAY1693,592,11559.24,UPI,valid
695,PAY1694,16,7601.56,CARD,valid
696,PAY1695,360,3097.73,CARD,valid
697,PAY1696,487,4695.45,UPI,valid
698,PAY1697,838,14269.72,UPI,valid
699,PAY1698,706,6139.86,UPI,valid
700,PAY1699,502,13707.55,CARD,valid
701,PAY1700,141,,CARD,non_numeric
702,PAY1701,620,8605.08,UPI,valid
703,PAY1702,815,1286.68,UPI,valid
704,PAY1703,777,8306.25,UPI,valid
705,PAY1704,447,,UPI,missing
706,PAY1705,290,,UPI,missing
707,PAY1706,209,9105.12,NETBANKING,valid
708,PAY1707,475,10060.35,UPI,valid
709,PAY1708,413,10616.41,NETBANKING,valid
710,PAY1709,677,11869.65,CARD,valid
711,PAY1710,427,,CARD,missing
712,PAY1711,854,8948.88,NETBANKING,valid
713,PAY1712,371,14742.11,UPI,valid
714,PAY1713,832,13574.02,CARD,valid
715,PAY1714,664,14337.32,UPI,valid
716,PAY1715,967,6405.91,UPI,valid
717,PAY1716,290,12016.99,NETBANKING,valid
718,PAY1717,432,9678.57,CARD,valid
719,PAY1718,268,2158.29,CARD,valid
720,PAY1719,151,12535.73,NETBANKING,valid
721,PAY1720,719,10479.42,UPI,valid
722,PAY1721,255,,UPI,missing
723,PAY1722,353,2116.34,CARD,valid
724,PAY1723,377,12718.31,NETBANKING,valid
725,PAY1724,653,2104.63,NETBANKING,valid
726,PAY1725,855,2278.95,UPI,valid
727,PAY1726,358,6983.72,UPI,valid
728,PAY1727,608,2887.17,NETBANKING,valid
729,PAY1728,941,13791.37,CARD,valid
730,PAY1729,370,7583.98,UPI,valid
731,PAY1730,227,8968.11,NETBANKING,valid
732,PAY1731,705,13993.49,NETBANKING,valid
733,PAY1732,303,8423.69,NETBANKING,valid
734,PAY1733,826,5950.28,CARD,valid
735,PAY1734,389,12160.17,UPI,valid
736,PAY1735,377,7199.9,UPI,valid
737,PAY1736,973,5458.57,UPI,valid
738,PAY1737,118,11125.21,CARD,valid
739,PAY1738,5,12222.48,UPI,valid
740,PAY1739,444,,UPI,non_numeric
741,PAY1740,352,14687.44,UPI,valid
742,PAY1741,755,12013.34,UPI,valid
743,PAY1742,533,,CARD,missing
744,PAY1743,664,13004.79,NETBANKING,valid
745,PAY1744,640,1002.59,NETBANKING,valid
746,PAY1745,124,6074.04,UPI,valid
747,PAY1746,658,11326.44,UPI,valid
748,PAY1747,277,9396.07,UPI,valid
749,PAY1748,822,,CARD,missing
750,PAY1749,394,5252.26,UPI,valid
751,PAY1750,664,5715.1,CARD,valid
752,PAY1751,360,8949.59,UPI,valid
753,PAY1752,623,12642.38,UPI,valid
754,PAY1753,469,14054.88,NETBANKING,valid
755,PAY1754,985,11501.29,UPI,valid
756,PAY1755,628,12801.31,CARD,valid
757,PAY1756,700,,NETBANKING,non_numeric
758,PAY1757,57,,CARD,missing
759,PAY1758,251,6497.92,NETBANKING,valid
760,PAY1759,896,9624.54,CARD,valid
761,PAY1760,919,2739.31,NETBANKING,valid
762,PAY1761,150,9112.92,CARD,valid
763,PAY1762,452,10311.86,CARD,valid
764,PAY1763,162,7144.72,UPI,valid
765,PAY1764,120,14344.34,NETBANKING,valid
766,PAY1765,582,9514.99,NETBANKING,valid
767,PAY1766,924,,UPI,missing
768,PAY1767,351,7709.03,CARD,valid
769,PAY1768,99,10455.66,CARD,valid
770,PAY1769,167,5530.81,NETBANKING,valid
771,PAY1770,810,2114.98,CARD,valid
772,PAY1771,663,9168.1,NETBANKING,valid
773,PAY1772,838,14270.18,NETBANKING,valid
774,PAY1773,976,7791.01,CARD,valid
775,PAY1774,514,13685.53,CARD,valid
776,PAY1775,664,12690.33,CARD,valid
777,PAY1776,401,3063.78,UPI,valid
778,PAY1777,365,10914.38,NETBANKING,valid
779,PAY1778,577,,CARD,non_numeric
780,PAY1779,326,4503.45,UPI,valid
781,PAY1780,581,10617.14,CARD,valid
782,PAY1781,633,11397.25,NETBANKING,valid
783,PAY1782,621,3518.55,UPI,valid
784,PAY1783,828,13802.23,NETBANKING,valid
785,PAY1784,247,11516.06,CARD,valid
786,PAY1785,434,14067.26,CARD,valid
787,PAY1786,93,5439.03,CARD,valid
788,PAY1787,268,14150.69,UPI,valid
789,PAY1788,615,6159.25,UPI,valid
790,PAY1789,943,1755.58,UPI,valid
791,PAY1790,963,11681.57,UPI,valid
792,PAY1791,624,10849.11,CARD,valid
793,PAY1792,321,9370.75,CARD,valid
794,PAY1793,923,7858.51,CARD,valid
795,PAY1794,816,1450.31,UPI,valid
796,PAY1795,856,9744.36,UPI,valid
797,PAY1796,62,6835.68,CARD,valid
798,PAY1797,300,8842.93,CARD,valid
799,PAY1798,403,7010.5,UPI,valid
800,PAY1799,955,14524.79,NETBANKING,valid
801,PAY1800,648,9457.52,CARD,valid
802,PAY1801,567,11489.31,CARD,valid
803,PAY1802,620,14108.86,CARD,valid
804,PAY1803,303,9282.39,UPI,valid
805,PAY1804,770,1168.88,CARD,valid
806,PAY1805,253,1480.08,CARD,valid
807,PAY1806,734,10832.74,CARD,valid
808,PAY1807,478,4907.19,CARD,valid
809,PAY1808,369,9111.32,CARD,valid
810,PAY1809,679,3831.88,NETBANKING,valid
811,PAY1810,941,4783.48,NETBANKING,valid
812,PAY1811,160,8064.97,CARD,valid
813,PAY1812,961,14657.97,CARD,valid
814,PAY1813,166,9627.79,CARD,valid
815,PAY1814,205,14106.07,CARD,valid
816,PAY1815,267,14431.32,UPI,valid
817,PAY1816,138,3913.54,UPI,valid
818,PAY1817,368,,UPI,non_numeric
819,PAY1818,443,11779.89,NETBANKING,valid
820,PAY1819,858,13134.7,CARD,valid
821,PAY1820,760,8269.17,UPI,valid
822,PAY1821,567,14905.16,CARD,valid
823,PAY1822,916,1162.01,CARD,valid
824,PAY1823,721,5194.3,NETBANKING,valid
825,PAY1824,17,9724.26,NETBANKING,valid
826,PAY1825,68,7570.06,UPI,valid
827,PAY1826,133,2632.44,UPI,valid
828,PAY1827,700,6149.02,NETBANKING,valid
829,PAY1828,919,1356.26,NETBANKING,valid
830,PAY1829,430,9998.44,CARD,valid
831,PAY1830,308,13498.4,CARD,valid
832,PAY1831,650,13388.24,UPI,valid
833,PAY1832,174,,UPI,non_numeric
834,PAY1833,412,7520.78,NETBANKING,valid
835,PAY1834,97,8168.44,UPI,valid
836,PAY1835,683,2916.86,CARD,valid
837,PAY1836,154,5774.24,NETBANKING,valid
838,PAY1837,695,3628.19,CARD,valid
839,PAY1838,242,,NETBANKING,missing
840,PAY1839,304,13806.55,NETBANKING,valid
841,PAY1840,285,8516.93,CARD,valid
842,PAY1841,27,11188.7,UPI,valid
843,PAY1842,402,2700.51,UPI,valid
844,PAY1843,360,9519.49,UPI,valid
845,PAY1844,60,10839.07,UPI,valid
846,PAY1845,202,7338.75,CARD,valid
847,PAY1846,762,4405.82,NETBANKING,valid
848,PAY1847,874,13283.24,CARD,valid
849,PAY1848,581,11400.72,UPI,valid
850,PAY1849,970,13598.0,UPI,valid
851,PAY1850,370,,CARD,non_numeric
852,PAY1851,533,14865.24,NETBANKING,valid
853,PAY1852,152,,CARD,non_numeric
854,PAY1853,102,2214.47,CARD,valid
855,PAY1854,899,5718.04,CARD,valid
856,PAY1855,1000,2806.06,NETBANKING,valid
857,PAY1856,607,8323.82,CARD,valid
858,PAY1857,446,9862.4,CARD,valid
859,PAY1858,873,9096.04,UPI,valid
860,PAY1859,229,4629.36,CARD,valid
861,PAY1860,125,13723.54,UPI,valid
862,PAY1861,770,1296.41,UPI,valid
863,PAY1862,834,5872.19,UPI,valid
864,PAY1863,999,11065.89,NETBANKING,valid
865,PAY1864,881,11737.0,UPI,valid
866,PAY1865,938,6825.66,CARD,valid
867,PAY1866,236,1236.74,CARD,valid
868,PAY1867,162,9652.61,UPI,valid
869,PAY1868,554,1883.33,UPI,valid
870,PAY1869,788,2509.98,CARD,valid
871,PAY1870,353,10103.51,UPI,valid
872,PAY1871,68,5374.84,NETBANKING,valid
873,PAY1872,173,5872.42,UPI,valid
874,PAY1873,843,7815.3,NETBANKING,valid
875,PAY1874,637,14700.1,NETBANKING,valid
876,PAY1875,682,14516.19,NETBANKING,valid
877,PAY1876,559,6827.65,UPI,valid
878,PAY1877,261,4716.99,NETBANKING,valid
879,PAY1878,217,5236.29,NETBANKING,valid
880,PAY1879,817,4762.94,UPI,valid
881,PAY1880,124,8451.44,NETBANKING,valid
882,PAY1881,805,9496.04,UPI,valid
883,PAY1882,162,7842.91,CARD,valid
884,PAY1883,201,6711.92,NETBANKING,valid
885,PAY1884,454,3957.99,UPI,valid
886,PAY1885,402,7755.08,CARD,valid
887,PAY1886,462,5775.44,NETBANKING,valid
888,PAY1887,275,8582.34,NETBANKING,valid
889,PAY1888,206,10452.65,UPI,valid
890,PAY1889,40,9866.37,CARD,valid
891,PAY1890,273,,UPI,missing
892,PAY1891,700,8784.73,NETBANKING,valid
893,PAY1892,867,4987.99,NETBANKING,valid
894,PAY1893,93,1339.36,NETBANKING,valid
895,PAY1894,42,9750.27,NETBANKING,valid
896,PAY1895,465,4535.96,CARD,valid
897,PAY1896,379,10365.35,CARD,valid
898,PAY1897,107,,UPI,non_numeric
899,PAY1898,328,13822.99,UPI,valid
900,PAY1899,65,14413.72,UPI,valid
901,PAY1900,365,1147.36,NETBANKING,valid
902,PAY1901,821,14865.24,UPI,valid
903,PAY1902,484,10562.26,CARD,valid
904,PAY1903,647,10009.34,UPI,valid
905,PAY1904,901,1212.98,UPI,valid
906,PAY1905,24,13057.27,CARD,valid
907,PAY1906,540,3036.88,CARD,valid
908,PAY1907,62,12722.62,NETBANKING,valid
909,PAY1908,491,1217.88,CARD,valid
910,PAY1909,273,10043.5,CARD,valid
911,PAY1910,229,7087.22,UPI,valid
912,PAY1911,20,3810.73,CARD,valid
913,PAY1912,3,2505.86,NETBANKING,valid
914,PAY1913,421,7161.79,UPI,valid
915,PAY1914,730,2726.28,NETBANKING,valid
916,PAY1915,911,7810.25,CARD,valid
917,PAY1916,307,9753.04,NETBANKING,valid
918,PAY1917,432,12583.38,NETBANKING,valid
919,PAY1918,136,10501.09,CARD,valid
920,PAY1919,909,1912.8,CARD,valid
921,PAY1920,944,5304.06,UPI,valid
922,PAY1921,515,,UPI,missing
923,PAY1922,193,,UPI,missing
924,PAY1923,585,13148.95,CARD,valid
925,PAY1924,415,6182.07,NETBANKING,valid
926,PAY1925,873,,NETBANKING,missing
927,PAY1926,118,13517.5,UPI,valid
928,PAY1927,666,13434.66,UPI,valid
929,PAY1928,209,12966.45,CARD,valid
930,PAY1929,952,12831.14,NETBANKING,valid
931,PAY1930,34,7723.56,UPI,valid
932,PAY1931,649,3484.04,CARD,valid
933,PAY1932,318,7684.83,UPI,valid
934,PAY1933,120,7924.37,CARD,valid
935,PAY1934,627,7859.04,NETBANKING,valid
936,PAY1935,525,8542.82,CARD,valid
937,PAY1936,581,4607.2,UPI,valid
938,PAY1937,937,6127.38,UPI,valid
939,PAY1938,845,7078.61,NETBANKING,valid
940,PAY1939,769,2835.7,NETBANKING,valid
941,PAY1940,89,7375.1,UPI,valid
942,PAY1941,512,12346.57,UPI,valid
943,PAY1942,47,12592.83,UPI,valid
944,PAY1943,772,6761.89,NETBANKING,valid
945,PAY1944,740,8263.32,UPI,valid
946,PAY1945,959,1471.1,NETBANKING,valid
947,PAY1946,692,10442.06,UPI,valid
948,PAY1947,522,6664.48,CARD,valid
949,PAY1948,284,7236.69,CARD,valid
950,PAY1949,377,,UPI,missing
951,PAY1950,638,7465.68,CARD,valid
952,PAY1951,134,1296.69,NETBANKING,valid
953,PAY1952,667,4184.87,CARD,valid
954,PAY1953,248,7658.69,CARD,valid
955,PAY1954,652,6941.55,NETBANKING,valid
956,PAY1955,318,13045.18,CARD,valid
957,PAY1956,436,8589.93,CARD,valid
958,PAY1957,176,10654.9,UPI,valid
959,PAY1958,835,7570.53,NETBANKING,valid
960,PAY1959,686,7155.18,NETBANKING,valid
961,PAY1960,993,7248.01,UPI,valid
962,PAY1961,586,,UPI,missing
963,PAY1962,351,8540.17,CARD,valid
964,PAY1963,143,4506.21,CARD,valid
965,PAY1964,967,13474.77,CARD,valid
966,PAY1965,804,5663.2,UPI,valid
967,PAY1966,398,3065.33,NETBANKING,valid
968,PAY1967,624,2351.71,CARD,valid
969,PAY1968,718,1187.92,UPI,valid
970,PAY1969,643,6919.99,NETBANKING,valid
971,PAY1970,369,3626.55,UPI,valid
972,PAY1971,501,1303.07,CARD,valid
973,PAY1972,622,8280.27,UPI,valid
974,PAY1973,370,10519.7,UPI,valid
975,PAY1974,579,2200.51,UPI,valid
976,PAY1975,382,7452.89,UPI,valid
977,PAY1976,86,11410.8,NETBANKING,valid
978,PAY1977,787,14801.3,CARD,valid
979,PAY1978,739,10340.66,NETBANKING,valid
980,PAY1979,460,4427.75,UPI,valid
981,PAY1980,950,11031.75,UPI,valid
982,PAY1981,325,,CARD,non_numeric
983,PAY1982,522,3965.19,CARD,valid
984,PAY1983,489,12915.55,NETBANKING,valid
985,PAY1984,929,6983.66,NETBANKING,valid
986,PAY1985,397,14467.69,CARD,valid
987,PAY1986,896,11120.61,NETBANKING,valid
988,PAY1987,355,10023.88,UPI,valid
989,PAY1988,947,11196.94,UPI,valid
990,PAY1989,288,7693.36,CARD,valid
991,PAY1990,459,8073.17,NETBANKING,valid
992,PAY1991,624,12916.9,UPI,valid
993,PAY1992,998,,CARD,missing
994,PAY1993,536,13561.41,NETBANKING,valid
995,PAY1994,291,13471.57,UPI,valid
996,PAY1995,851,14670.86,NETBANKING,valid
997,PAY1996,838,10803.01,NETBANKING,valid
998,PAY1997,168,8032.22,NETBANKING,valid
999,PAY1998,950,3328.36,CARD,valid
1000,PAY1999,621,10875.33,UPI,valid
